block	prime	fragment	posprime	ctrlprime	blckprime
guitar	gutter	g u t _ _ r	0.8	0.6	0.5
health	herald	h e _ a l _	0.55	0.35	0.25
pickle	pocket	p _ c k e _	0.8	0.6	0.5
present	percent	p _ r _ e n t	0.4	0.2	0.1
spider	sprite	s p _ i _ e	0.5	0.3	0.2
stomach	stamina	s t _ m _ _ a	0.65	0.45	0.35
storage	scourge	s _ o _ r g e	0.45	0.25	0.15
sunset	sanest	s _ n _ s t	0.3	0.1	0
gamble	giblet	g _ b l e _	0.7	0.55	0.45
hamburger 	homebound	h _ m e b _ u _ d	0.65	0.5	0.4
carpet	corpse	c _ r p _ e	0.4	0.3	0.2
cotton	colony	c o _ _ n _	0.35	0.25	0.15
subtract	subtlety	s u b t _ _ t _	0.2	0.1	0
winter	wither	w _ t _ e r	0.4	0.3	0.2
bucket	buckle	b _ c k _ e	0.95	0.9	0.8
period	parody	p _ r o d _	0.4	0.35	0.25
smooth	scotch	s _ o t _ h	0.35	0.3	0.2
basket	blasts	b _ a s _ s	0.5	0.5	0.4
defense	descent	d e _ _ e n _	0.2	0.2	0.1
ignore	insure	i n _ _ r e	0.1	0.1	0
poison	photon	p _ o _ o n	0.4	0.4	0.3
shopping	scooping	s _ _ o p i n g	0.65	0.65	0.55
spaghetti	strategic	s t _ a t e _ i _	0.1	0.1	0
street	stereo	s t _ r e _	0.7	0.7	0.6
trouble	tribute	t r _ _ u _ e	0.25	0.25	0.15
meeting	mention	m e _ t i _ n	0.2	0.25	0.15
sorority	scarcity	s _ _ r _ i t y	0.05	0.1	0
twelve	towels	t _ w e _ s	0.65	0.75	0.65
weight	wretch	w _ e _ _ h	0.45	0.55	0.45
jewish	jesuit	j e _ _ i _	0.6	0.1	0.05
thread	thawed	t h _ _ e d	0.6	0.1	0.05
circus	clicks	c _ i c _ s	0.75	0.3	0.25
disease	diocese	d i _ _ e s e	0.55	0.1	0.05
fright	fringe	f r i _ g _	0.75	0.3	0.25
office	ounces	o _ _ c e s	0.7	0.25	0.2
rabbit	rabies	r a b i _ _	0.65	0.2	0.15
thirsty	thrifty	t h _ i _ t y	0.9	0.5	0.45
forget	forest	f o _ e _ t	0.6	0.25	0.2
sheriff	servile	s _ r _ i _ e	0.4	0.05	0
supper	stupor	s _ u p _ r	0.55	0.2	0.15
dagger	dealer	d _ a _ e r	0.85	0.55	0.5
pudding	pausing	p _ u _ i n g	0.5	0.2	0.15
shovel	shield	s h _ e l _	0.7	0.4	0.35
before	belfry	b e _ f r _	0.5	0.25	0.2
clothes	clotted	c l o _ t _ _	0.45	0.2	0.15
different	divergent	d i _ e r _ _ n t	0.35	0.1	0.05
monkey	moaned	m o _ n e _	0.35	0.1	0.05
